x,y
241.9919891357422,22.002053022384644
232.0975341796875,23.414401292800903
222.2401885986328,25.0658278465271
212.4288787841797,26.971508026123047
202.67431640625,29.148917198181152
192.9895782470703,31.618172645568848
183.3910369873047,34.40340042114258
173.89840698242188,37.53031349182129
164.5368194580078,41.02975654602051
155.33731079101562,44.93499183654785
146.33868408203125,49.28266716003418
137.58922576904297,54.11166763305664
129.1487808227539,59.46179962158203
121.09004211425781,65.37057113647461
113.49948120117188,71.86906814575195
106.4755630493164,78.97550201416016
100.12445831298828,86.68843841552734
94.54997253417969,94.97953033447266
89.84172058105469,103.7911376953125
86.06140899658203,113.03887939453125
82.81458282470703,122.26350402832031
73.95605087280273,126.867919921875
66.23692321777344,133.17591094970703
60.651519775390625,141.41353607177734
57.755916595458984,150.94927978515625
56.8143196105957,160.89218139648438
56.58655548095703,170.8843994140625
55.91028594970703,180.85205078125
53.66104507446289,190.57058715820312
49.0248908996582,199.38697814941406
43.46205139160156,207.0327606201172
45.48983573913574,216.8179168701172
46.883670806884766,226.71365356445312
47.69640922546387,236.67420959472656
47.99093437194824,246.6638641357422
47.83416938781738,256.65684509277344
47.29388999938965,266.63671875
46.436378479003906,276.594482421875
45.32504844665527,286.5272521972656
44.01993942260742,296.43658447265625
42.57915687561035,306.3271179199219
41.056894302368164,316.2054748535156
39.50737380981445,326.07958984375
37.980384826660156,335.957275390625
36.52857208251953,345.84619140625
35.206539154052734,355.75323486328125
34.06608581542969,365.6827392578125
33.16390514373779,375.6365966796875
32.55734443664551,385.6127014160156
32.304999351501465,395.6038818359375
33.47772026062012,405.135498046875
37.96808433532715,396.5801696777344
40.621694564819336,386.9451904296875
42.93591499328613,377.2220458984375
45.09560203552246,367.46319580078125
47.18019485473633,357.68804931640625
49.24360275268555,347.90838623046875
51.34404754638672,338.1366271972656
53.60602569580078,328.4013671875
55.782127380371094,318.6677551269531
57.80170440673828,308.8811950683594
60.509056091308594,299.26202392578125
63.8642463684082,289.8489685058594
67.83450317382812,280.67828369140625
72.39348220825195,271.78558349609375
77.52070617675781,263.20802307128906
83.20025634765625,254.9857635498047
89.41935729980469,247.16375732421875
96.1672134399414,239.7932891845703
103.4329833984375,232.93310546875
111.2030258178711,226.65040588378906
119.45834350585938,221.0209503173828
128.1698226928711,216.12783813476562
137.2949676513672,212.05889892578125
146.7731170654297,208.89996337890625
156.52432250976562,206.72695922851562
166.45033264160156,205.5959930419922
176.4403839111328,205.53286743164062
186.3810272216797,206.52822875976562
196.15528869628906,208.57261657714844
205.4215850830078,212.30880737304688
215.00257873535156,215.1424560546875
224.8044891357422,217.08055114746094
234.73602294921875,218.17991638183594
244.72265625,218.53652954101562
254.71278381347656,218.2698516845703
264.6780090332031,217.50888061523438
274.60877990722656,216.38177490234375
284.5096130371094,215.0143280029297
294.39306640625,213.5254364013672
304.2757568359375,212.0313720703125
314.1744384765625,210.6479949951172
324.1019592285156,209.4925079345703
334.063720703125,208.6870574951172
344.052001953125,208.3557891845703
